time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/loss,train/clip_range,train/entropy_loss,train/approx_kl,train/explained_variance,train/std,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
2048,148,13,1,,,,,,,,,,,,,
4096,149,27,2,-2.8827693313360214e-05,0.2,-2.821744757890701,0.004835964,-45.91543197631836,0.983662486076355,0.0003,-0.0060153500351589175,0.024609375,0.043081251681724095,10,,
6144,157,38,3,-0.009216999635100365,0.2,-2.7886081174016,0.0059616654,-4.772371768951416,0.967246413230896,0.0003,-0.005743448196881218,0.04111328125,0.011380414200539235,20,,
8192,143,57,4,-0.017730610445141792,0.2,-2.764936026185751,0.0061656646,-5.3204450607299805,0.9626708626747131,0.0003,-0.0069496358148171565,0.065283203125,0.006527663813903928,30,,
10240,145,70,5,0.0031794190872460604,0.2,-2.7557101376354693,0.0050249808,-1.7360572814941406,0.9559846520423889,0.0003,-0.006512758533062879,0.034521484375,0.006612035314174136,40,9989.0,-0.569976
12288,145,84,6,-0.015339494682848454,0.2,-2.7423071190714836,0.007932359,-1.4399001598358154,0.9504456520080566,0.0003,-0.007046616847947007,0.062353515625,0.005803538656618912,50,9989.0,-0.569976
14336,144,99,7,-0.04125287011265755,0.2,-2.7253420554101466,0.008244961,-1.7466816902160645,0.9400743842124939,0.0003,-0.00893073360202834,0.086376953125,0.003825371909988462,60,9989.0,-0.569976
16384,142,114,8,0.008839896880090237,0.2,-2.707202808558941,0.01154807,-0.9198436737060547,0.9327490329742432,0.0003,-0.006792373344796943,0.093359375,0.0032144595446879976,70,9989.0,-0.569976
18432,145,126,9,0.005850308574736118,0.2,-2.7000765658915045,0.009824829,-1.2719383239746094,0.9325507879257202,0.0003,-0.005005612187960651,0.093408203125,0.002018790857255226,80,9989.0,-0.569976
20480,148,137,10,-0.001325658755376935,0.2,-2.674385791271925,0.010195803,-0.38871777057647705,0.9113800525665283,0.0003,-0.004715509718516841,0.10078125,0.0035026383033255116,90,9989.0,-0.8167215
22528,149,150,11,-0.013073919340968132,0.2,-2.643105301260948,0.01176902,-0.8311624526977539,0.9040253162384033,0.0003,-0.0050302879681112245,0.114599609375,0.0025533086092764277,100,9989.0,-0.8167215
24576,151,161,12,-0.0012276537017896771,0.2,-2.6161517508327963,0.0150743555,-0.5897179841995239,0.8875762820243835,0.0003,-0.00637105143032386,0.1373046875,0.0023233043575601187,110,9989.0,-0.8167215
26624,152,174,13,-0.0036652979906648397,0.2,-2.6111753143370153,0.012517372,-0.29566264152526855,0.8980861902236938,0.0003,-0.0012799162141163833,0.119384765625,0.0017025349387040478,120,9989.0,-0.8167215
28672,151,189,14,0.02063223533332348,0.2,-2.6247154369950296,0.012670438,-0.44993770122528076,0.896450400352478,0.0003,-0.0021642947656800972,0.124072265625,0.0016748064235798665,130,9989.0,-0.8167215
30720,152,200,15,0.02418557181954384,0.2,-2.623242999613285,0.010222904,-0.24628829956054688,0.8983001708984375,0.0003,-0.003747138004109729,0.10390625,0.0034314079537580257,140,9989.0,-0.34868566666666667
32768,152,215,16,-0.014553869143128395,0.2,-2.618410034477711,0.010045961,-0.43033909797668457,0.8934860229492188,0.0003,-0.005358147634979105,0.092041015625,0.001819606915159966,150,9989.0,-0.34868566666666667
34816,153,226,17,0.008710558526217937,0.2,-2.6042718358337877,0.011421195,-0.24611985683441162,0.8844872713088989,0.0003,-0.0018854794732760638,0.118212890625,0.0017126225773608894,160,9989.0,-0.34868566666666667
