time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/loss,train/std,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
13,1,156,2048,,,,,,,,,,,,,
31,2,128,4096,10,-0.007859557013580343,0.0478515625,0.04945782376744319,0.0058432277,-36.41648483276367,0.2,0.019349969923496246,0.9907528162002563,0.0003,-2.8268873654305935,,
44,3,136,6144,20,-0.007094691992097069,0.0369140625,0.012342290268861689,0.005677264,-7.248567581176758,0.2,-0.0050764563493430614,0.9988150000572205,0.0003,-2.8269988097250462,,
60,4,134,8192,30,-0.004810111261031124,0.04443359375,0.00669294629842625,0.0047736336,-4.742435455322266,0.2,-0.005618271417915821,0.9987055063247681,0.0003,-2.834077203273773,,
76,5,133,10240,40,-0.009545065627025905,0.061865234375,0.006271018027473474,0.0075246673,-2.0518977642059326,0.2,-0.020142357796430588,0.9966738820075989,0.0003,-2.8339840158820153,9989.0,-2.141843
95,6,129,12288,50,-0.010322947223903612,0.075927734375,0.004834602373011876,0.008193411,-4.007969856262207,0.2,0.006898983381688595,1.0033917427062988,0.0003,-2.8400184109807016,9989.0,-2.141843
115,7,124,14336,60,-0.008360162524331827,0.0673828125,0.0036902122927131133,0.0071470216,-2.7871081829071045,0.2,-0.009202057495713234,0.9998358488082886,0.0003,-2.843061388283968,9989.0,-2.141843
133,8,123,16384,70,-0.005048532286309637,0.0755859375,0.0037930515689367896,0.0069150664,-0.957890510559082,0.2,0.0010393784614279866,0.9980911016464233,0.0003,-2.836166052520275,9989.0,-2.141843
150,9,122,18432,80,-0.008123449703271035,0.072412109375,0.002091299274252378,0.007991253,-1.8474087715148926,0.2,0.005619087256491184,0.9949929118156433,0.0003,-2.8318801008164884,9989.0,-2.141843
165,10,123,20480,90,-0.007870308672863757,0.0671875,0.002956447010001284,0.007310951,-0.48875176906585693,0.2,-0.016372989863157272,0.9980893135070801,0.0003,-2.83277738019824,9989.0,-2.2320510000000002
182,11,123,22528,100,-0.0068143830816552505,0.06513671875,0.0023024679871014087,0.009025011,-1.015122413635254,0.2,0.005688363686203957,1.0017075538635254,0.0003,-2.841851940751076,9989.0,-2.2320510000000002
201,12,121,24576,110,-0.0056855324844946155,0.090625,0.002122662278270582,0.011094753,-0.7672299146652222,0.2,-0.02539624273777008,0.9945201277732849,0.0003,-2.833981363475323,9989.0,-2.2320510000000002
219,13,121,26624,120,-0.004910761871724389,0.103515625,0.00202374231248541,0.0093449,-0.3622159957885742,0.2,-0.002177031710743904,0.9909402132034302,0.0003,-2.823716016113758,9989.0,-2.2320510000000002
239,14,119,28672,130,-0.008087588836497161,0.084765625,0.0021118055086844834,0.009271443,-0.39411795139312744,0.2,-0.003716481849551201,0.9849758148193359,0.0003,-2.8150720626115797,9989.0,-2.2320510000000002
