train/policy_loss,time/total_timesteps,train/explained_variance,train/std,time/time_elapsed,train/entropy_loss,time/fps,train/learning_rate,train/value_loss,time/iterations,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
0.26861104369163513,500,-19608.068359375,0.9909795522689819,1,-2.820683479309082,414,0.0007,0.04556243494153023,100,99,,
-0.3252449929714203,1000,-4297.32421875,0.9958600997924805,2,-2.829524040222168,448,0.0007,0.03575398400425911,200,199,,
-0.29248562455177307,1500,-1020.553955078125,0.9981414079666138,3,-2.8371543884277344,457,0.0007,0.0055524990893900394,300,299,1070.0,0.136358
0.2644486129283905,2000,-1100.1234130859375,1.0033708810806274,4,-2.845836639404297,460,0.0007,0.019279256463050842,400,399,1070.0,0.136358
-0.023088840767741203,2500,-23.629968643188477,0.9998049736022949,5,-2.8369967937469482,460,0.0007,0.0003137660678476095,500,499,1070.0,0.37167849999999997
0.0018638931214809418,3000,0.18750035762786865,0.9984604120254517,6,-2.834160566329956,463,0.0007,0.0004281284927856177,600,599,1070.0,0.37167849999999997
-0.07711077481508255,3500,-8.171192169189453,0.998837947845459,7,-2.8355493545532227,462,0.0007,0.0015444040764123201,700,699,1070.0,0.3327113333333333
0.09772372990846634,4000,-752.6476440429688,1.0036840438842773,8,-2.843649387359619,460,0.0007,0.003209766699001193,800,799,1070.0,0.3327113333333333
0.018350664526224136,4500,-3075.916259765625,0.9911708831787109,9,-2.8205859661102295,458,0.0007,0.0023020857479423285,900,899,1070.0,0.08585699999999996
0.07038172334432602,5000,-1.556645393371582,0.9965059757232666,10,-2.8307464122772217,455,0.0007,0.0012439191341400146,1000,999,1070.0,0.08585699999999996
-0.0383913479745388,5500,-3.3403892517089844,0.9955756068229675,12,-2.827928066253662,450,0.0007,0.0006405481835827231,1100,1099,1070.0,-0.014834000000000036
-0.010527045466005802,6000,-6.288971900939941,0.9981603622436523,13,-2.833380699157715,446,0.0007,0.00015736994100734591,1200,1199,1070.0,-0.014834000000000036
0.13840697705745697,6500,0.040337979793548584,1.0040509700775146,14,-2.8442656993865967,442,0.0007,0.0020593195222318172,1300,1299,1070.0,-0.014191666666666698
