time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/std,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/value_loss,train/clip_range,train/learning_rate
1,2048,260.0,1035,1,0.09197542857142857,,,,,,,,,,,
2,4096,260.0,935,4,0.06596986666666665,-0.00664333131571766,-2.8304847240448,0.004268949,0.9941325783729553,-17.28180694580078,10,0.020947265625,-0.005646762438118458,0.022323099701316095,0.2,0.0003
3,6144,260.0,923,6,0.051300565217391306,-0.007166797775425948,-2.8045541785657404,0.0067105712,0.9756307601928711,-4.239184856414795,20,0.05634765625,-0.005851520225405693,0.0025050260570424142,0.2,0.0003
4,8192,260.0,922,8,0.028718,-0.0059218946378678085,-2.7848882041871548,0.0043209638,0.9727383852005005,-1.7508525848388672,30,0.0400390625,-0.003779376158490777,0.0014397449089301518,0.2,0.0003
5,10240,260.0,919,11,0.029296230769230772,-0.0068704099801834674,-2.778331395983696,0.0055908114,0.9696345329284668,-0.8692983388900757,40,0.0546875,-0.028727471828460693,0.0011285549311651267,0.2,0.0003
6,12288,260.0,919,13,0.03632638297872341,-0.00850558486126829,-2.767625504732132,0.00588753,0.9621862173080444,-0.4314078092575073,50,0.05908203125,-0.0028129760175943375,0.0011230388992771623,0.2,0.0003
7,14336,260.0,920,15,0.0404280909090909,-0.007279915839899331,-2.778052783757448,0.0057246406,0.9746534824371338,-0.37888801097869873,60,0.037353515625,-0.014625219628214836,0.0009103773599235865,0.2,0.0003
8,16384,260.0,921,17,0.037290285714285706,-0.005907386014587246,-2.7860425673425198,0.0057999743,0.9739265441894531,-0.2618626356124878,70,0.04384765625,-0.015645280480384827,0.0007813978397280153,0.2,0.0003
9,18432,260.0,920,20,0.04901038571428571,-0.009250791058002505,-2.763991842418909,0.010574659,0.9546289443969727,-0.11531412601470947,80,0.08076171875,-0.003433617763221264,0.0010009660440118751,0.2,0.0003
10,20480,260.0,921,22,0.06062617948717948,-0.012171356205362827,-2.7484303809702397,0.011098487,0.955986738204956,-0.09023010730743408,90,0.0875,-0.02697538211941719,0.0007460153232386801,0.2,0.0003
11,22528,260.0,921,24,0.07228138372093022,-0.006795817392412573,-2.7472645193338394,0.0055755563,0.954225480556488,0.011013567447662354,100,0.049560546875,-0.021712802350521088,0.0008624936004707706,0.2,0.0003
12,24576,260.0,921,26,0.08626239361702126,-0.008146368555026129,-2.73007522970438,0.008595238,0.9411912560462952,0.16517865657806396,110,0.059521484375,-0.015040604397654533,0.0010686549720048788,0.2,0.0003
13,26624,260.0,921,28,0.09833186000000001,-0.00947392672242131,-2.705787329375744,0.0066839587,0.9321038722991943,0.2673988342285156,120,0.061669921875,-0.013441422954201698,0.0010548850576014956,0.2,0.0003
14,28672,260.0,922,31,0.11350805,-0.011599361698608845,-2.690989802777767,0.008481039,0.9280844926834106,0.19590067863464355,130,0.10029296875,-0.05086710304021835,0.0010092673036524503,0.2,0.0003
15,30720,260.0,922,33,0.13854355999999998,-0.006861744809430093,-2.6802659794688224,0.0047087613,0.9201781749725342,0.3172031044960022,140,0.070166015625,0.001017069211229682,0.0009209721383740543,0.2,0.0003
