time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/entropy_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/std,train/explained_variance,train/approx_kl
1066,1,260.0,1,2048,-0.01730357142857143,,,,,,,,,,,
970,2,260.0,4,4096,0.016214533333333333,0.03199863752815872,10,0.2,0.0003,-2.8232453733682634,0.017236328125,0.004257170483469963,-0.003792684011568781,0.9870392084121704,-9.589953422546387,0.005100959
950,3,260.0,6,6144,0.06022104347826087,0.007926435366971418,20,0.2,0.0003,-2.811024075001478,0.034130859375,0.015641147270798683,-0.006870803040510509,0.9865940809249878,-0.45662248134613037,0.0054289848
942,4,260.0,8,8192,0.02463332258064516,0.004790138485259376,30,0.2,0.0003,-2.8232277266681196,0.041943359375,-0.02158939838409424,-0.007350753623177298,0.9962431192398071,0.04292231798171997,0.004893022
936,5,260.0,10,10240,0.03733953846153846,0.002760746310741524,40,0.2,0.0003,-2.8342585705220698,0.054931640625,0.01323213055729866,-0.008228777657495811,0.9997305870056152,0.21697938442230225,0.007358223
930,6,260.0,13,12288,0.05189855319148937,0.002267785996446037,50,0.2,0.0003,-2.8339805737137795,0.070166015625,-0.009270119480788708,-0.007297697168542072,0.9970149993896484,0.2983483076095581,0.0075755576
926,7,260.0,15,14336,0.05624954545454545,0.001667350691241154,60,0.2,0.0003,-2.8134603649377823,0.052734375,-0.00604891125112772,-0.008283624127216171,0.9796587228775024,0.3559727668762207,0.0063406928
918,8,260.0,17,16384,0.0566546984126984,0.0013604553263576236,70,0.2,0.0003,-2.789028536528349,0.05185546875,-0.03930778056383133,-0.007081941432261374,0.9730044603347778,0.31137311458587646,0.007002248
913,9,260.0,20,18432,0.054587114285714285,0.001253985428957094,80,0.2,0.0003,-2.7681638941168787,0.0642578125,-0.01680467650294304,-0.007670133147621527,0.9610241651535034,0.27427440881729126,0.0068556187
906,10,260.0,22,20480,0.0648771153846154,0.0009936996353644644,90,0.2,0.0003,-2.7588293239474297,0.0517578125,-0.00891239382326603,-0.008774873765651137,0.9607301950454712,0.2450048327445984,0.006501082
